id,name,position,year,Estimate,Std. Error,z value,Pr(>|z|)
5314,Dexter Gormley,Skipper,24,-2.31640615776794,0.826474737089328,-2.80275494678257,0.0050668152015054
6553,Harry Boutemy,Skipper,24,-2.31854076410644,0.979317042173819,-2.36750782868018,0.0179083411535193
5946,Molly McLeod,Skipper,25,-2.32172950007514,0.774334889723549,-2.99835320723316,0.0027144288444465
5392,Travis Bouck,Skipper,24,-2.32941612485204,1.03156573702895,-2.25813638553088,0.0239371578011563
5312,Jared Silver,Skipper,25,-2.33542958330798,0.937617945514737,-2.49081152347811,0.0127451709903883
6049,Glen Warren,Skipper,26,-2.3358149061274,0.878620910508286,-2.65850138346482,0.0078489028362117
6044,Alexandra Avery,Skipper,26,-2.33674771850769,0.80967407828093,-2.88603498764464,0.0039012878476361
6386,George Wood,Skipper,27,-2.3459460873699,0.862018762468467,-2.72145594679642,0.0064995047325049
5834,Johnny Leadingham,Skipper,26,-2.3467256369605,0.790973492814978,-2.96688278213823,0.0030083562725622
6206,Madison Roy,Skipper,25,-2.34684616843714,1.06892265458464,-2.19552477288366,0.0281259758618923
6232,Joey Skerbeck,Skipper,27,-2.35127264957705,0.744417852728191,-3.15853877087976,0.0015856221667979
5393,David Carrion,Skipper,24,-2.35263917537062,0.966363988529358,-2.43452695184859,0.0149112693308068
5867,Kate Faranetta,Skipper,24,-2.36319321700781,0.723979265244909,-3.26417251218981,0.0010978429766675
6190,Marguerite Eno,Skipper,27,-2.37332326339682,0.833692657696886,-2.84676042362329,0.0044166587375063
5777,Adeline Spencer,Skipper,25,-2.37829528300885,0.822818945091824,-2.89042358248502,0.0038472305413987
5573,Isaac Sparber,Skipper,26,-2.37849376319415,0.862621706413619,-2.75728485094912,0.0058283554252565
6114,Seton Dill,Skipper,27,-2.39318538303411,0.777555510311441,-3.0778321949973,0.0020851229286954
6705,Cameron Luck,Skipper,28,-2.39834667671688,1.0590250211677,-2.26467423222203,0.023532677867784
6632,Imogene Nuss,Skipper,28,-2.40085934001516,0.817296101269885,-2.93756367647514,0.0033080223038702
6306,Gavin Holmes,Skipper,27,-2.41104217589038,0.771696209251356,-3.1243410904265,0.0017820374907158
5479,Jane Minchew,Skipper,01,-2.41332466954913,0.815172354563292,-2.96050848147568,0.0030713166494143
4809,Collin Kemper,Skipper,22,-2.41729335601593,0.944543861583928,-2.55921768626214,0.0104908026247154
6667,Reed Rossell,Skipper,25,-2.42039453715259,0.902767865890046,-2.68108184684476,0.007338456480845
6106,Malik Deslauriers,Skipper,24,-2.42815893066218,0.799442089234084,-3.03731685304248,0.0023869440597624
5491,Caroline Hearle,Skipper,22,-2.43684281393391,1.26433553489662,-1.92737034329512,0.0539334928205724
6337,Ross Ellis,Skipper,27,-2.44252631578481,0.993776154925851,-2.45782342802043,0.0139781881539807
6697,Lucas Hurtado,Skipper,28,-2.44523828902052,0.858368647313489,-2.84870410478481,0.0043897686102647
6147,Addie Perez,Skipper,25,-2.45007184709382,0.952483939194787,-2.57229728111223,0.0101026101206083
6191,Lily Brandt,Skipper,27,-2.45337029560133,0.974012469979031,-2.51882842491139,0.0117746016888106
6085,Sophie Leduc,Skipper,26,-2.45539131957993,0.917426361750056,-2.67639063139203,0.0074419850263967
6233,Ian Knox,Skipper,24,-2.4612382423654,0.743691982141741,-3.30948605264956,0.0009346742270335
6279,Danielle Clement,Skipper,26,-2.46220214396484,0.970741957183328,-2.53641261279061,0.0111994690501147
5680,Seth Mobley,Skipper,22,-2.46940769731515,0.8470691171581,-2.91523754944574,0.0035541790087324
